"","state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","year","yieldpercol_kg","price_per_kg","totalprod_kg","StateName","Region","FIPS","nCLOTHIANIDIN","nIMIDACLOPRID","nTHIAMETHOXAM","nACETAMIPRID","nTHIACLOPRID","nAllNeonic","nAllNeonic_kg"
"760","CO",34000,56,1904000,533000,1.52,2894000,2010,25.4011759673995,3.3510259568,863639.982891582,"Colorado","West",8,16623.2,3435.3,4125.3,0,0,24183.8,10969.5885600071
"761","CO",36000,75,2700000,1458000,1.04,2808000,2006,34.0194320991957,2.2928072336,1224699.55557105,"Colorado","West",8,3165.9,883.8,1464,0,0,5513.7,2500.97257020447
"762","FL",2e+05,113,22600000,2712000,0.5,11300000,1993,51.2559443627882,1.10231117,10251188.8725576,"Florida","South",12,NA,NA,NA,NA,NA,NA,NA
"763","FL",220000,104,22880000,2517000,0.53,12126000,1992,47.1736125108847,1.1684498402,10378194.7523946,"Florida","South",12,NA,NA,NA,NA,NA,NA,NA
"764","FL",225000,83,18675000,1307000,0.53,9898000,1991,37.6481715231099,1.1684498402,8470838.59269974,"Florida","South",12,NA,NA,NA,NA,NA,NA,NA
"765","FL",230000,84,19320000,2898000,0.47,9080000,1994,38.1017639510992,1.0361724998,8763405.70875282,"Florida","South",12,0,3039.4,0,0,0,3039.4,1378.64882563061
"766","FL",230000,86,19780000,1780000,0.64,12659000,1995,39.0089488070778,1.4109582976,8972058.22562789,"Florida","South",12,0,4828.5,0,0,0,4828.5,2190.17103854622
"767","FL",240000,67,16080000,2734000,0.73,11738000,1997,30.3906926752815,1.6093743082,7293766.24206756,"Florida","South",12,0,9347.5,0,0,0,9347.5,4239.95522062976
"768","FL",240000,105,25200000,2268000,0.86,21672000,1996,47.627204938874,1.8959752124,11430529.1853298,"Florida","South",12,0,12278,0,0,0,12278,5569.20783085234
"769","FL",150000,79,11850000,1304000,1.32,15642000,2008,35.8338018111528,2.9101014888,5375070.27167292,"Florida","South",12,134.3,31040.8,2152,181.1,0,33508.2,15199.0657955503
"770","FL",160000,71,11360000,1363000,0.99,11246000,2007,32.2050623872386,2.1825761166,5152809.98195818,"Florida","South",12,84.4,42580.1,933.8,16.5,0,43614.8,19783.3430282667
"771","FL",160000,86,13760000,2477000,0.87,11971000,2005,39.0089488070778,1.9180214358,6241431.80913244,"Florida","South",12,7.9,26821.9,1887.8,93.5,0,28811.1,13068.4968020418
"772","FL",170000,68,11560000,1618000,1.42,16415000,2009,30.8442851032708,3.1305637228,5243528.46755603,"Florida","South",12,96.3,31796.6,2237.5,734.4,0,34864.8,15814.4092833605
"773","FL",170000,81,13770000,1790000,1,13770000,2006,36.7409866671314,2.20462234,6245967.73341234,"Florida","South",12,85.4,20595,625.4,156.2,0,21462,9735.00068950585
"774","FL",180000,61,10980000,988000,1.68,18446000,2011,27.6691381073459,3.7037655312,4980444.85932225,"Florida","South",12,358.2,38183.4,13523.4,469.8,0,52534.8,23829.387485931
"775","FL",193000,64,12352000,1235000,1.84,22728000,2012,29.0299153913137,4.0565051056,5602773.67052354,"Florida","South",12,657.7,45642.4,11270.7,487.6,0,58058.4,26334.8506211726
"776","FL",2e+05,69,13800000,1794000,1.56,21528000,2010,31.2978775312601,3.4392108504,6259575.50625201,"Florida","South",12,238.5,29766.4,3700.1,290.7,0,33995.7,15420.192104195
"777","FL",205000,43,8815000,529000,2.4,21156000,2017,19.5044744035389,5.291093616,3998417.25272547,"Florida","South",12,NA,NA,NA,NA,NA,NA,NA
"778","FL",205000,98,20090000,2009000,1.02,20492000,2004,44.4520579429491,2.2487147868,9112671.87830456,"Florida","South",12,0,15851,1146.7,0,0,16997.7,7710.02801323332
"779","FL",210000,71,14910000,1491000,1.32,19681000,2003,32.2050623872386,2.9101014888,6763063.10132011,"Florida","South",12,0,35597.6,0,0,0,35597.6,16146.8018145911
"780","FL",215000,50,10750000,538000,2.43,26123000,2016,22.6796213994638,5.3572322862,4876118.60088472,"Florida","South",12,93.8,52580.4,11642.4,1.8,0,64318.4,29174.3392203855
"781","FL",220000,100,2.2e+07,3432000,0.64,14080000,2001,45.3592427989276,1.4109582976,9979033.41576408,"Florida","South",12,0,9378.8,0,0,0,9378.8,4254.15266362582
"782","FL",220000,54,11880000,832000,1.97,23404000,2015,24.4939911114209,4.3431060098,5388678.0445126,"Florida","South",12,198.9,37847.4,7991.5,712,0,46749.8,21205.3552900131
"783","FL",220000,61,13420000,1074000,2.03,27243000,2013,27.6691381073459,4.4753833502,6087210.38361609,"Florida","South",12,281.9,61532,13291,643.9,0,75748.8,34359.0821092741
"784","FL",220000,93,20460000,2026000,1.14,23324000,2002,42.1840958030027,2.5132694676,9280501.07666059,"Florida","South",12,0,7846.5,10.2,0,0,7856.7,3563.73962898335
"785","FL",228000,102,23256000,4186000,0.53,12326000,1999,46.2664276549062,1.1684498402,10548745.5053186,"Florida","South",12,0,11173.8,0,0,0,11173.8,5068.35107186658
"786","FL",230000,98,22540000,4508000,0.64,14426000,1998,44.4520579429491,1.4109582976,10223973.3268783,"Florida","South",12,0,11049.1,0,0,0,11049.1,5011.78809609631
"787","FL",232000,105,24360000,2923000,0.54,13154000,2000,47.627204938874,1.1904960636,11049511.5458188,"Florida","South",12,0,6003.8,0,0,0,6003.8,2723.27821916202
"788","FL",245000,60,14700000,1029000,2.08,30576000,2014,27.2155456793566,4.5856144672,6667808.69144236,"Florida","South",12,858.6,30203.3,13241.9,368.9,0,44672.7,20263.1984578365
"789","GA",70000,62,4340000,260000,0.71,3081000,1995,28.1227305353351,1.5652818614,1968591.13747346,"Georgia","South",13,0,0.9,0,0,0,0.9,0.408233185190349
"790","GA",75000,46,3450000,587000,0.79,2726000,1997,20.8652516875067,1.7416516486,1564893.876563,"Georgia","South",13,0,10856.3,0,0,0,10856.3,4924.33547597998
"791","GA",75000,68,5100000,306000,0.88,4488000,1996,30.8442851032708,1.9400676592,2313321.38274531,"Georgia","South",13,0,1008.8,0,0,0,1008.8,457.584041355582
"792","GA",80000,56,4480000,179000,0.61,2733000,1993,25.4011759673995,1.3448196274,2032094.07739196,"Georgia","South",13,NA,NA,NA,NA,NA,NA,NA
"793","GA",80000,63,5040000,958000,0.57,2873000,1994,28.5763229633244,1.2566347338,2286105.83706595,"Georgia","South",13,NA,NA,NA,NA,NA,NA,NA
